historical_year,future_year,initial_cp,final_cp,target_cp,status
1980,2050,0.11846653005464482,0.16207466668413487,0.16207466657613642,LOCALLY_SOLVED
1981,2050,0.10883744292237442,0.1499999999993373,0.15,LOCALLY_SOLVED
1982,2050,0.12168116438356164,0.166105748411809,0.16610574835498837,LOCALLY_SOLVED
1983,2050,0.11687123287671232,0.1600741986376153,0.16007419848930932,LOCALLY_SOLVED
1984,2050,0.11654064207650273,0.15965964504294544,0.15965964479062114,LOCALLY_SOLVED
1985,2050,0.11739863013698633,0.16073554332353077,0.16073554322360228,LOCALLY_SOLVED
1986,2050,0.12194554794520547,0.1664372796828889,0.16643727961140026,LOCALLY_SOLVED
1987,2050,0.11668744292237442,0.15984372998002425,0.15984372986978299,LOCALLY_SOLVED
1988,2050,0.11524282786885244,0.15803221406852783,0.15803221390128708,LOCALLY_SOLVED
1989,2050,0.12297899543378993,0.16773320040740936,0.16773320036455017,LOCALLY_SOLVED
1990,2050,0.12291917808219177,0.16765819076455696,0.1676581907020463,LOCALLY_SOLVED
1991,2050,0.12444041095890411,0.16956578378767442,0.16956578376031284,LOCALLY_SOLVED
1992,2050,0.11895878870673952,0.16269194834553463,0.16269194825731928,LOCALLY_SOLVED
1993,2050,0.12055376712328766,0.16469201673331668,0.16469201662427882,LOCALLY_SOLVED
1994,2050,0.1213601598173516,0.16570321568319332,0.16570321558597673,LOCALLY_SOLVED
1995,2050,0.1277375570776256,0.17370033354632164,0.17370033353533082,LOCALLY_SOLVED
1996,2050,0.12760143442622948,0.17352963869390442,0.1735296386806173,LOCALLY_SOLVED
1997,2050,0.12685456621004568,0.17259308214944002,0.17259308212412794,LOCALLY_SOLVED
1998,2050,0.11393230593607306,0.156388847935037,0.15638884780005047,LOCALLY_SOLVED
1999,2050,0.12413333333333335,0.1691807151122062,0.1691807150730292,LOCALLY_SOLVED
2000,2050,0.11821732695810565,0.16176217140840216,0.16176217129396517,LOCALLY_SOLVED
2001,2050,0.12073013698630138,0.1649131806858163,0.16491318061009785,LOCALLY_SOLVED
2002,2050,0.1239775114155251,0.16898531780597884,0.1689853177651699,LOCALLY_SOLVED
2003,2050,0.132761301369863,0.180000000012553,0.18,LOCALLY_SOLVED
2004,2050,0.1227264344262295,0.16741649436952194,0.1674164943347333,LOCALLY_SOLVED
2005,2050,0.12450662100456619,0.16964880973917515,0.16964880972262641,LOCALLY_SOLVED
2006,2050,0.12349760273972601,0.1683835227163576,0.1683835226866052,LOCALLY_SOLVED
2007,2050,0.12273767123287671,0.16743058509426184,0.1674305850467379,LOCALLY_SOLVED
2008,2050,0.12060496357012751,0.16475621592119152,0.1647562158590536,LOCALLY_SOLVED
2009,2050,0.12677956621004566,0.17249903377715925,0.17249903374957612,LOCALLY_SOLVED
2010,2050,0.12364246575342468,0.16856517780064312,0.16856517776621951,LOCALLY_SOLVED
2011,2050,0.12597351598173517,0.1714882642564651,0.17148826423251096,LOCALLY_SOLVED
2012,2050,0.12147244990892533,0.16584402498623926,0.16584402492718817,LOCALLY_SOLVED
2013,2050,0.12290525114155253,0.16764072666484886,0.16764072662031865,LOCALLY_SOLVED
2014,2050,0.12376267123287672,0.16871591285555512,0.16871591283228266,LOCALLY_SOLVED
2015,2050,0.12515456621004567,0.17046131900296801,0.17046131896761502,LOCALLY_SOLVED
2016,2050,0.12451844262295082,0.16966363380631264,0.16966363377587498,LOCALLY_SOLVED
2017,2050,0.11930821917808218,0.1631301265850531,0.1631301264953023,LOCALLY_SOLVED
2018,2050,0.13025399543378996,0.17685589270521337,0.17685589269610125,LOCALLY_SOLVED
2019,2050,0.12650913242009132,0.17215991567049097,0.17215991563798774,LOCALLY_SOLVED
