historical_year,future_year,initial_cp,final_cp,target_cp,status
1980,2050,0.34819427367941713,0.5640445991488193,0.5640445991490719,LOCALLY_SOLVED
1981,2050,0.3347126369863014,0.5391283158864558,0.5391283158867164,LOCALLY_SOLVED
1982,2050,0.32136619863013705,0.514461901400708,0.5144619014004437,LOCALLY_SOLVED
1983,2050,0.36415171232876714,0.5935365718654766,0.5935365718657006,LOCALLY_SOLVED
1984,2050,0.31146541438979963,0.4961636227678344,0.4961636227665381,LOCALLY_SOLVED
1985,2050,0.3191089041095891,0.5102900496467032,0.5102900496467719,LOCALLY_SOLVED
1986,2050,0.365374703196347,0.5957968602545882,0.5957968602548276,LOCALLY_SOLVED
1987,2050,0.29978720319634705,0.47458036662935515,0.4745803666146902,LOCALLY_SOLVED
1988,2050,0.3636915642076503,0.5926861424117439,0.5926861424119658,LOCALLY_SOLVED
1989,2050,0.317409497716895,0.5071492669647325,0.5071492669642201,LOCALLY_SOLVED
1990,2050,0.36618906392694067,0.5973019329028814,0.5973019329031339,LOCALLY_SOLVED
1991,2050,0.31433712328767127,0.5014710134049905,0.5014710134027944,LOCALLY_SOLVED
1992,2050,0.3415837431693989,0.5518272508808368,0.5518272508811009,LOCALLY_SOLVED
1993,2050,0.3290872374429224,0.5287316517664198,0.5287316517666742,LOCALLY_SOLVED
1994,2050,0.34574994292237443,0.5595270736498182,0.5595270736500773,LOCALLY_SOLVED
1995,2050,0.3462185273972603,0.5603930948736764,0.560393094873934,LOCALLY_SOLVED
1996,2050,0.31716890938069214,0.506704620126082,0.5067046201256382,LOCALLY_SOLVED
1997,2050,0.3080776712328767,0.48990251590016853,0.4899025158965438,LOCALLY_SOLVED
1998,2050,0.3676489269406392,0.5999999999997783,0.5999999999999999,LOCALLY_SOLVED
1999,2050,0.3499744406392694,0.5673346406501286,0.5673346406503865,LOCALLY_SOLVED
2000,2050,0.3613669285063753,0.5883898330738274,0.5883898330740709,LOCALLY_SOLVED
2001,2050,0.32976400684931506,0.5299824330044063,0.5299824330046543,LOCALLY_SOLVED
2002,2050,0.33240689497716897,0.5348669252009597,0.5348669252012099,LOCALLY_SOLVED
2003,2050,0.2918243264840183,0.45986366004778606,0.4598636600111889,LOCALLY_SOLVED
2004,2050,0.32681311475409835,0.5245286987884856,0.5245286987886422,LOCALLY_SOLVED
2005,2050,0.320265799086758,0.5124281819530628,0.5124281819531127,LOCALLY_SOLVED
2006,2050,0.32995980593607305,0.5303443019391254,0.530344301939353,LOCALLY_SOLVED
2007,2050,0.34792818493150685,0.5635528233528457,0.5635528233530931,LOCALLY_SOLVED
2008,2050,0.3554440687613843,0.5774434135486128,0.5774434135488544,LOCALLY_SOLVED
2009,2050,0.3158409589041096,0.5042503491059653,0.5042503491060262,LOCALLY_SOLVED
2010,2050,0.27566577625570776,0.42999999999964866,0.43,LOCALLY_SOLVED
2011,2050,0.3303066210045662,0.5309852732605548,0.5309852732607838,LOCALLY_SOLVED
2012,2050,0.3164570582877961,0.5053890021576125,0.5053890021576597,LOCALLY_SOLVED
2013,2050,0.3210869634703197,0.5139458288715801,0.5139458288717718,LOCALLY_SOLVED
2014,2050,0.314486997716895,0.5017480060138898,0.5017480060126132,LOCALLY_SOLVED
2015,2050,0.34886894977168953,0.5652915115978194,0.5652915115980648,LOCALLY_SOLVED
2016,2050,0.2915997609289617,0.4594486259349684,0.459448625909012,LOCALLY_SOLVED
2017,2050,0.314045605022831,0.5009322396758554,0.500932239674627,LOCALLY_SOLVED
2018,2050,0.31270585616438357,0.4984561633037887,0.4984561633036831,LOCALLY_SOLVED
2019,2050,0.3242104908675799,0.5197186215360727,0.5197186215363019,LOCALLY_SOLVED
